Date,Open,High,Low,Close,Volume
17-Feb-17,135.10,135.83,135.10,135.72,22198197
16-Feb-17,135.67,135.90,134.84,135.34,22584555
15-Feb-17,135.52,136.27,134.62,135.51,35623100
14-Feb-17,133.47,135.09,133.25,135.02,33226223
13-Feb-17,133.08,133.82,132.75,133.29,23035421
10-Feb-17,132.46,132.94,132.05,132.12,20065458
9-Feb-17,131.65,132.44,131.12,132.42,28349859
8-Feb-17,131.35,132.22,131.22,132.04,23004072
7-Feb-17,130.54,132.09,130.45,131.53,38183841
6-Feb-17,129.13,130.50,128.90,130.29,26845924
3-Feb-17,128.31,129.19,128.16,129.08,24507301
2-Feb-17,127.98,129.39,127.78,128.53,33710411
1-Feb-17,127.03,130.49,127.01,128.75,111985040
31-Jan-17,121.15,121.39,120.62,121.35,49200993
30-Jan-17,120.93,121.63,120.66,121.63,30377503
27-Jan-17,122.14,122.35,121.60,121.95,20562944
26-Jan-17,121.67,122.44,121.60,121.94,26337576
25-Jan-17,120.42,122.10,120.28,121.88,32586673
24-Jan-17,119.55,120.10,119.50,119.97,23211038
23-Jan-17,120.00,120.81,119.77,120.08,22050218
20-Jan-17,120.45,120.45,119.73,120.00,32597892
19-Jan-17,119.40,120.09,119.37,119.78,25597291
18-Jan-17,120.00,120.50,119.71,119.99,23712961
17-Jan-17,118.34,120.24,118.22,120.00,34439843
13-Jan-17,119.11,119.62,118.81,119.04,26111948
12-Jan-17,118.90,119.30,118.21,119.25,27086220
11-Jan-17,118.74,119.93,118.60,119.75,27588593
10-Jan-17,118.77,119.38,118.30,119.11,24462051
9-Jan-17,117.95,119.43,117.94,118.99,33561948
6-Jan-17,116.78,118.16,116.47,117.91,31751900
5-Jan-17,115.92,116.86,115.81,116.61,22193587
4-Jan-17,115.85,116.51,115.75,116.02,21118116
3-Jan-17,115.80,116.33,114.76,116.15,28781865
30-Dec-16,116.65,117.20,115.43,115.82,30586265
29-Dec-16,116.45,117.11,116.40,116.73,15039519
28-Dec-16,117.52,118.02,116.20,116.76,20905892
27-Dec-16,116.52,117.80,116.49,117.26,18296855
23-Dec-16,115.59,116.52,115.59,116.52,14249484
22-Dec-16,116.35,116.51,115.64,116.29,26085854
21-Dec-16,116.80,117.40,116.78,117.06,23783165
20-Dec-16,116.74,117.50,116.68,116.95,21424965
19-Dec-16,115.80,117.38,115.75,116.64,27779423
16-Dec-16,116.47,116.50,115.64,115.97,44351134
15-Dec-16,115.38,116.73,115.23,115.82,46524544
14-Dec-16,115.04,116.20,114.98,115.19,34031834
13-Dec-16,113.84,115.92,113.75,115.19,43733811
12-Dec-16,113.29,115.00,112.49,113.30,26374377
9-Dec-16,112.31,114.70,112.31,113.95,34402627
8-Dec-16,110.86,112.43,110.60,112.12,27068316
7-Dec-16,109.26,111.19,109.16,111.03,29998719
6-Dec-16,109.50,110.36,109.19,109.95,26195462
5-Dec-16,110.00,110.03,108.25,109.11,34324540
2-Dec-16,109.17,110.09,108.85,109.90,26527997
1-Dec-16,110.36,110.94,109.03,109.49,37086862
30-Nov-16,111.60,112.20,110.27,110.52,36162258
29-Nov-16,110.78,112.03,110.07,111.46,28528750
28-Nov-16,111.43,112.46,111.39,111.57,27193983
25-Nov-16,111.47,111.87,110.95,111.79,11475922
23-Nov-16,111.36,111.51,110.33,111.23,27426394
22-Nov-16,111.95,112.42,111.40,111.80,25965534
21-Nov-16,110.12,111.99,110.01,111.73,29264571
18-Nov-16,109.72,110.54,109.66,110.06,28428917
17-Nov-16,109.81,110.35,108.83,109.95,26964598
16-Nov-16,106.70,110.23,106.60,109.99,58840522
15-Nov-16,106.57,107.68,106.16,107.11,32264510
14-Nov-16,107.71,107.81,104.08,105.71,51175504
11-Nov-16,107.12,108.87,106.55,108.43,34143898
10-Nov-16,111.09,111.09,105.83,107.79,57134541
9-Nov-16,109.88,111.32,108.05,110.88,59176361
8-Nov-16,110.31,111.72,109.70,111.06,24254179
7-Nov-16,110.08,110.51,109.46,110.41,32560000
4-Nov-16,108.53,110.25,108.11,108.84,30836997
3-Nov-16,110.98,111.46,109.55,109.83,26932602
2-Nov-16,111.40,112.35,111.23,111.59,28331709
1-Nov-16,113.46,113.77,110.53,111.49,43825812
31-Oct-16,113.65,114.23,113.20,113.54,26419398
28-Oct-16,113.87,115.21,113.45,113.72,37861662
27-Oct-16,115.39,115.86,114.10,114.48,34562045
26-Oct-16,114.31,115.70,113.31,115.59,66134219
25-Oct-16,117.95,118.36,117.31,118.25,48128970
24-Oct-16,117.10,117.74,117.00,117.65,23538673
21-Oct-16,116.81,116.91,116.28,116.60,23192665
20-Oct-16,116.86,117.38,116.33,117.06,24125801
19-Oct-16,117.25,117.76,113.80,117.12,20034594
18-Oct-16,118.18,118.21,117.45,117.47,24553478
17-Oct-16,117.33,117.84,116.78,117.55,23624896
14-Oct-16,117.88,118.17,117.13,117.63,35652191
13-Oct-16,116.79,117.44,115.72,116.98,35192406
12-Oct-16,117.35,117.98,116.75,117.34,37586787
11-Oct-16,117.70,118.69,116.20,116.30,64041043
10-Oct-16,115.02,116.75,114.72,116.05,36235956
7-Oct-16,114.31,114.56,113.51,114.06,24358443
6-Oct-16,113.70,114.34,113.13,113.89,28779313
5-Oct-16,113.40,113.66,112.69,113.05,21453089
4-Oct-16,113.06,114.31,112.63,113.00,29736835
3-Oct-16,112.71,113.05,112.28,112.52,21701760
30-Sep-16,112.46,113.37,111.80,113.05,36379106
29-Sep-16,113.16,113.80,111.80,112.18,35886990
28-Sep-16,113.69,114.64,113.43,113.95,29641085
27-Sep-16,113.00,113.18,112.34,113.09,24607412
26-Sep-16,111.64,113.39,111.55,112.88,29869442
23-Sep-16,114.42,114.79,111.55,112.71,52481151
22-Sep-16,114.35,114.94,114.00,114.62,31073984
21-Sep-16,113.85,113.99,112.44,113.55,36003185
20-Sep-16,113.05,114.12,112.51,113.57,34514269
19-Sep-16,115.19,116.18,113.25,113.58,47023046
16-Sep-16,115.12,116.13,114.04,114.92,79886911
15-Sep-16,113.86,115.73,113.49,115.57,90613177
14-Sep-16,108.73,113.03,108.60,111.77,112340318
13-Sep-16,107.51,108.79,107.24,107.95,62176190
12-Sep-16,102.65,105.72,102.53,105.44,45292770
9-Sep-16,104.64,105.72,103.13,103.13,46556984
8-Sep-16,107.25,107.27,105.24,105.52,53002026
7-Sep-16,107.83,108.76,107.07,108.36,42364328
6-Sep-16,107.90,108.30,107.51,107.70,26880391
2-Sep-16,107.70,108.00,106.82,107.73,26334858
1-Sep-16,106.14,106.80,105.62,106.73,26701523
31-Aug-16,105.66,106.57,105.64,106.10,29662406
30-Aug-16,105.80,106.50,105.50,106.00,24863945
29-Aug-16,106.62,107.44,106.29,106.82,24970300
26-Aug-16,107.41,107.95,106.31,106.94,27766291
25-Aug-16,107.39,107.88,106.68,107.57,25086248
24-Aug-16,108.56,108.75,107.68,108.03,23675081
23-Aug-16,108.59,109.32,108.53,108.85,21257669
22-Aug-16,108.86,109.10,107.85,108.51,25820230
19-Aug-16,108.77,109.69,108.36,109.36,25368072
18-Aug-16,109.23,109.60,109.02,109.08,21984703
17-Aug-16,109.10,109.37,108.34,109.22,25355976
16-Aug-16,109.63,110.23,109.21,109.38,33794448
15-Aug-16,108.14,109.54,108.08,109.48,25868209
12-Aug-16,107.78,108.44,107.78,108.18,18660434
11-Aug-16,108.52,108.93,107.85,107.93,27484506
10-Aug-16,108.71,108.90,107.76,108.00,24008505
9-Aug-16,108.23,108.94,108.01,108.81,26315204
8-Aug-16,107.52,108.37,107.16,108.37,28037220
5-Aug-16,106.27,107.65,106.18,107.48,40553402
4-Aug-16,105.58,106.00,105.28,105.87,27408650
3-Aug-16,104.81,105.84,104.77,105.79,30202641
2-Aug-16,106.05,106.07,104.00,104.48,33816556
1-Aug-16,104.41,106.15,104.41,106.05,38167871
